"elementId","ownerComponent","callback","source","line","surface","apiCalls","resourceOperations","routeTargets","helperCalls","localState"
"component.components-realm-realmoffice.action.mo-goc-nhin-realm","CharacterDossier","onOpenRealm","components/realm/RealmOffice.jsx","2750","component:realm/RealmOffice","","","","","setActivePanel | setMode"
"component.components-realm-realmpilotcontrol.action.a-khoa-do-timeout-duyet-ap-dung","LaunchApprovalCard","onDecide","components/realm/RealmPilotControl.jsx","503","component:realm/RealmPilotControl","POST /api/approvals/*/decide","","","import:fetchRealmWithTimeout","setApprovalBusyId | setDraft | setLaunch | setState"
"component.components-realm-realmpilotcontrol.action.tu-choi","LaunchApprovalCard","onDecide","components/realm/RealmPilotControl.jsx","503","component:realm/RealmPilotControl","POST /api/approvals/*/decide","","","import:fetchRealmWithTimeout","setApprovalBusyId | setDraft | setLaunch | setState"
"component.components-realm-realmpilotoperations.action.xac-nhan-qua-canary-gate","ActivationGuard","onClear","components/realm/RealmPilotOperations.jsx","359","component:realm/RealmPilotOperations","","","","import:fetchRealmWithTimeout","setState"
"component.components-realm-realmpilotoperations.action.rollback-ve-erp","ActivationGuard","onRollback","components/realm/RealmPilotOperations.jsx","359","component:realm/RealmPilotOperations","","","","","setConfirm"
"component.components-realm-realmpilotoperations.action.ghi-nhan-su-co","IncidentCommand","onReport","components/realm/RealmPilotOperations.jsx","388","component:realm/RealmPilotOperations","","","","import:fetchRealmWithTimeout","setConfirm | setState"
"component.components-realm-realmpilotoperations.action.bat-au-theo-doi","IncidentCommand","onMonitor","components/realm/RealmPilotOperations.jsx","388","component:realm/RealmPilotOperations","","","","import:fetchRealmWithTimeout","setState"
"component.components-realm-realmpilotoperations.action.xac-nhan-a-khong-che","IncidentCommand","onResolve","components/realm/RealmPilotOperations.jsx","388","component:realm/RealmPilotOperations","","","","import:fetchRealmWithTimeout","setState"
"component.components-realm-rewardcontrolcenter.action.ang-gui-gui-duyet","RewardControlCenter","onLocalDashboardChange","components/realm/RealmOffice.jsx","2955","component:realm/RealmOffice","","","","",""
"component.components-realm-rewardcontrolcenter.action.ang-gui-gui-duyet","RewardControlCenter","onRewardChanged","components/realm/RealmOffice.jsx","2955","component:realm/RealmOffice","","","","",""
"component.components-realm-rewardcontrolcenter.action.ang-duyet-phe-duyet-budget","RewardControlCenter","onLocalDashboardChange","components/realm/RealmOffice.jsx","2955","component:realm/RealmOffice","","","","",""
"component.components-realm-rewardcontrolcenter.action.ang-duyet-phe-duyet-budget","RewardControlCenter","onRewardChanged","components/realm/RealmOffice.jsx","2955","component:realm/RealmOffice","","","","",""
"component.components-realm-rewardcontrolcenter.form-submit.checker-review-cau-hinh-han-muc-truoc-khi-reward-uoc-phe-duyet-t","RewardControlCenter","onLocalDashboardChange","components/realm/RealmOffice.jsx","2955","component:realm/RealmOffice","","","","",""
"component.components-realm-rewardcontrolcenter.form-submit.checker-review-cau-hinh-han-muc-truoc-khi-reward-uoc-phe-duyet-t","RewardControlCenter","onRewardChanged","components/realm/RealmOffice.jsx","2955","component:realm/RealmOffice","","","","",""
"component.components-realm-rewardcontrolcenter.action.ang-luu-luu-budget-draft","RewardControlCenter","onLocalDashboardChange","components/realm/RealmOffice.jsx","2955","component:realm/RealmOffice","","","","",""
