elementId,source,line,label,actionType,loadingState,successState,errorState,confirmationState,status
component.components-realm-royalcommandcenter.action.ang-ghi-erp-xac-nhan-phan-cong,components/realm/RoyalCommandCenter.jsx,74,Đang ghi ERP… / Xác nhận phân công,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-royalcommandcenter.action.ang-gui-gui-yeu-cau-duyet,components/realm/RoyalCommandCenter.jsx,114,Đang gửi… / Gửi yêu cầu duyệt,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-royaltreasuryexchange.action.ang-xu-ly,components/realm/RoyalTreasuryExchange.jsx,85,Đang xử lý…,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-royaltreasuryexchange.action.ang-ong-bo,components/realm/RoyalTreasuryExchange.jsx,318,Đang đồng bộ…,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-royaltreasuryexchange.action.xac-nhan-a-trao,components/realm/RoyalTreasuryExchange.jsx,335,Xác nhận đã trao,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-royaltreasuryexchange.action.a-trao-thuong,components/realm/RoyalTreasuryExchange.jsx,349,Đã trao thưởng,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-sendemail.action.ang-gui-gui-email,components/SendEmail.jsx,30,Đang gửi… / Gửi email,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-shell.action.oc-tat-ca,components/Shell.jsx,153,Đọc tất cả,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-shell.action.tat-2fa,components/Shell.jsx,197,Tắt 2FA,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-shell.action.bat-2fa,components/Shell.jsx,198,Bật 2FA,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-ui.action.ang-xu-ly,components/ui.jsx,178,Đang xử lý…,data-action,disabled-binding,hook-refresh,hook-error-toast,confirmed,verified
component.components-ui.action.ang-luu-luu,components/ui.jsx,225,Đang lưu… / Lưu,data-action,disabled-binding,hook-refresh,hook-error-toast,not-required,verified
component.components-ui.form-submit.e-e-preventdefault-submit,components/ui.jsx,229,,data-action,disabled-binding,hook-refresh,hook-error-toast,not-required,verified
